centre_code,centre_name,postal_code,Latitude,Longitude
PT9597,EtonHouse International Research Pre-School Pte Ltd,437738,1.3003,103.8867
PT9781,Rain Tree Montessori Schoolhouse,469538,1.3318,103.9476
NT0570,MY FIRST SKOOL,683817,1.3776,103.749
PT5810,KINDERLAND PRESCHOOL,597627,1.3199,103.7794
PT2070,CHILTERN HOUSE,298135,1.3334,103.8392
PT9008,Little Footprints Preschool Pte Ltd,328827,1.3254,103.854
RC1752,THE MORAL CHILDCARE CENTRE,550407,1.3472,103.873
NT0547,MY FIRST SKOOL,160054,1.2874,103.8412
RC1690,Little Shepherds' Schoolhouse@St Joseph's Church,679331,1.3678,103.7681
PT9745,Mulberry Learning Centre @ Kallang Pte Ltd,397699,1.301,103.873
PT9783,Little Paddington Preschool Bartley,367984,1.3336,103.8864
NT0571,MY FIRST SKOOL,390052,1.3107,103.885
RC0960,BETHLEHEM EDUCARE CENTRE (YISHUN),760311,1.4316,103.8408
PT8706,MULBERRY LEARNING CENTRE INTERNATIONAL PTE. LTD.,609921,1.3288,103.7461
PT8566,SHEFFIELD KIDSWORLD (SK) PTE. LTD.,540131,1.3893,103.9031
PT9723,Greentree Montessori Children Cottage,769372,1.439,103.8281
PT8518,GREENTREE MONTESSORI CHILDREN HUB PTE. LTD.,759130,1.4259,103.8238
PT8754,First Steps Preschool @ Jurong,609966,1.3285,103.753
